"","ID","gemeente","weight1","geslacht","leeftijd","opleiding","gezin","vertrouwen","nieuwsinteresse","intr_nieuws_buurt","intr_nieuws_stad","intr_nieuws_landelijk","intr_nieuws_internationaal","intr_nieuws_gr18","stem_gr2014","stem_gr2014b","stem_2017","stemkans_gr18","stemintentie_gr18","stemintentie_gr18b","stem_gr18","stem_moment","stem_plan","sr_niet","referendum","stem_gr18b"
"105",22024,"enschede",0.935871537760698,1,59,"vwo",3,-0.166666666666667,0,-0.5,-0.5,0.5,1,-0.5,"ChristenUnie","ChristenUnie","ChristenUnie","Waarschijnlijk wel","ChristenUnie","ChristenUnie","ChristenUnie","Dat stond al heel lang vast","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb voor gestemd","ChristenUnie"
"106",22025,"enschede",1.3100070737263,1,24,"vwo",3,0.166666666666667,-0.4,-1,-1,0.5,0.5,-1,"Weet ik niet meer","Weet ik niet meer","Partij voor de Dieren","Zeker wel","Weet ik niet meer","Weet ik niet meer","ChristenUnie","Circa een week voor de verkiezingen","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb tegen gestemd","ChristenUnie"
"107",11030,"almere",0.879361846186308,1,58,"bachelor",3,0.166666666666667,-0.1,-0.5,-0.5,0.5,0.5,-0.5,"GroenLinks","GroenLinks","GroenLinks","Zeker wel","GroenLinks","GroenLinks","GroenLinks","Dat stond al heel lang vast","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb tegen gestemd","GroenLinks"
"108",44008,"roermond",0.890238561106325,2,50,"bachelor",3,0.666666666666667,0.5,1,1,0.5,-0.5,0.5,"Liberale Volkspartij Roermond (LVR)","lokaal","Weet ik niet meer","Zeker wel","Liberale Volkspartij Roermond (LVR)","lokaal","Liberale Volkspartij Roermond (LVR)","Dat stond al heel lang vast","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb voor gestemd","lokaal"
"109",33014,"nijmegen",0.794532771832626,2,46,"bachelor",3,-0.333333333333333,0.1,-0.5,0.5,0.5,0.5,-0.5,"Weet ik niet meer","Weet ik niet meer","PVV","Waarschijnlijk niet","Weet ik niet meer","Weet ik niet meer","Stadspartij DNF","Circa een week voor de verkiezingen","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb voor gestemd","lokaal"
"110",11031,"almere",1.17104368139015,2,34,"mbo",3,-0.166666666666667,-0.1,0.5,0.5,-0.5,-0.5,-0.5,"SP","SP","SP","Zeker wel","SP","SP","SP","Circa een week voor de verkiezingen","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb tegen gestemd","SP"
"111",22026,"enschede",0.935871537760698,1,58,"mbo",3,-0.166666666666667,0.5,0.5,0.5,0.5,0.5,0.5,"CDA","CDA","CDA","Zeker wel","CDA","CDA",NA,NA,NA,NA,NA,NA
"112",22027,"enschede",0.793392238324074,2,55,"mbo",3,0.166666666666667,0.3,0.5,0.5,0.5,0.5,-0.5,"ChristenUnie","ChristenUnie","ChristenUnie","Zeker wel","ChristenUnie","ChristenUnie","ChristenUnie","Dat stond al heel lang vast","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb tegen gestemd","ChristenUnie"
"113",22028,"enschede",1.3100070737263,1,27,"mbo",3,-0.666666666666667,0.4,-0.5,0.5,0.5,1,0.5,"Burgerbelangen Enschede (BBE)","lokaal","Forum voor Democratie","Zeker wel","Democratisch Platform Enschede","lokaal","Burgerbelangen Enschede (BBE)","Op 21 maart, maar niet in het stemhokje","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb tegen gestemd","lokaal"
"114",11032,"almere",1.09514958621869,2,52,"vwo",1,-0.666666666666667,0.8,1,1,1,0.5,0.5,"PvdA","PvdA","SP","Zeker wel","SP","SP","SP","Dat stond al heel lang vast","Ik ben altijd van plan geweest te gaan stemmen",NA,"Ik heb voor gestemd","SP"
